Red curve_x,Red curve_y
186.1519851685,680.
186.3967609406,659.
186.6415367126,651.
186.8863124847,662.
187.1310882568,667.
187.3758640289,669.
187.6206398010,624.
187.8654155731,647.
188.1101913452,624.
188.3549671173,647.
188.5997428894,629.
188.8445186615,603.
189.0892944336,630.
189.3340702057,627.
189.5788459778,614.
189.8236217499,626.
190.068397522,627.
190.3131732941,682.
190.5579490662,633.
190.8027248383,604.
191.0475006104,633.
191.2922763824,601.
191.5370521545,615.
191.7818279266,665.
192.0266036987,684.
192.2713794708,651.
192.5161552429,630.
192.7609310150,648.
193.0057067871,642.
193.2504825592,636.
193.4952583313,626.
193.7400341034,567.
193.9848098755,607.
194.2295856476,629.
194.4743614197,611.
194.7191371918,651.
194.9639129639,691.
195.208688736,629.
195.4534645081,556.
195.6982402802,611.
195.9430160522,646.
196.1877918243,641.
196.4325675964,664.
196.6773433685,627.
196.9221191406,616.
197.1668949127,619.
197.4116706848,643.
197.6564464569,627.
197.9012222290,581.
198.1459980011,618.
198.3907737732,627.
198.6355495453,633.
198.8803253174,606.
199.1251010895,603.
199.3698768616,627.
199.6146526337,586.
199.8594284058,606.
200.1042041779,651.
200.34897995,633.
200.5937557220,636.
200.8385314941,633.
201.0833072662,655.
201.3280830383,633.
201.5728588104,643.
201.8176345825,608.
202.0624103546,568.
202.3071861267,616.
202.5519618988,635.
202.7967376709,677.
203.041513443,668.
203.2862892151,623.
203.5310649872,643.
203.7758407593,576.
204.0206165314,584.
204.2653923035,658.
204.5101680756,615.
204.7549438477,691.
204.9997196198,674.
205.2444953918,617.
205.4892711639,622.
205.7340469360,620.
205.9788227081,638.
206.2235984802,640.
206.4683742523,600.
206.7131500244,694.
206.9579257965,633.
207.2027015686,592.
207.4474773407,641.
207.6922531128,669.
207.9370288849,625.
208.181804657,563.
208.4265804291,584.
208.6713562012,611.
208.9161319733,616.
209.1609077454,592.
209.4056835175,627.
209.6504592896,662.
209.8952350616,659.
210.1400108337,642.
210.3847866058,607.
210.6295623779,631.
210.8743381500,615.
211.1191139221,624.
211.3638896942,634.
211.6086654663,612.
211.8534412384,616.
212.0982170105,609.
212.3429927826,611.
212.5877685547,560.
212.8325443268,562.
213.0773200989,595.
213.322095871,615.
213.5668716431,663.
213.8116474152,617.
214.0564231873,593.
214.3011989594,648.
214.5459747314,628.
214.7907505035,652.
215.0355262756,667.
215.2803020477,595.
215.5250778198,600.
215.7698535919,648.
216.0146293640,670.
216.2594051361,644.
216.5041809082,623.
216.7489566803,599.
216.9937324524,626.
217.2385082245,660.
217.4832839966,635.
217.7280597687,641.
217.9728355408,620.
218.2176113129,611.
218.462387085,589.
218.7071628571,611.
218.9519386292,646.
219.1967144012,615.
219.4414901733,588.
219.6862659454,615.
219.9310417175,625.
220.1758174896,612.
220.4205932617,616.
220.6653690338,663.
220.9101448059,656.
221.1549205780,591.
221.3996963501,649.
221.6444721222,656.
221.8892478943,578.
222.1340236664,590.
222.3787994385,601.
222.6235752106,677.
222.8683509827,679.
223.1131267548,655.
223.3579025269,697.
223.602678299,695.
223.8474540710,666.
224.0922298431,595.
224.3370056152,609.
224.5817813873,643.
224.8265571594,647.
225.0713329315,690.
225.3161087036,672.
225.5608844757,647.
225.8056602478,668.
226.0504360199,691.
226.295211792,657.
226.5399875641,641.
226.7847633362,652.
227.0295391083,663.
227.2743148804,617.
227.5190906525,647.
227.7638664246,641.
228.0086421967,649.
228.2534179688,650.
228.4981937408,701.
228.7429695129,673.
228.9877452850,617.
229.2325210571,616.
229.4772968292,626.
229.7220726013,652.
229.9668483734,713.
230.2116241455,664.
230.4563999176,674.
230.7011756897,662.
230.9459514618,645.
231.1907272339,683.
231.435503006,684.
231.6802787781,728.
231.9250545502,669.
232.1698303223,640.
232.4146060944,660.
232.6593818665,655.
232.9041576385,673.
233.1489334106,694.
233.3937091827,715.
233.6384849548,679.
233.8832607269,686.
234.1280364990,699.
234.3728122711,776.
234.6175880432,741.
234.8623638153,739.
235.1071395874,756.
235.3519153595,813.
235.5966911316,767.
235.8414669037,763.
236.0862426758,877.
236.3310184479,833.
236.57579422,796.
236.8205699921,789.
237.0653457642,830.
237.3101215363,850.
237.5548973083,894.
237.7996730804,884.
238.0444488525,864.
238.2892246246,925.
238.5340003967,997.
238.7787761688,1116.
239.0235519409,1313.
239.2683277130,1950.
239.5131034851,4340.
239.7578792572,9464.
240.0026550293,14495.
240.2474308014,15769.
240.4922065735,14677.
240.7369823456,12275.
240.9817581177,9135.
241.2265338898,7136.
241.4713096619,6263.
241.716085434,5784.
241.9608612061,5647.
242.2056369781,5750.
242.4504127502,6265.
242.6951885223,7498.
242.9399642944,9772.
243.1847400665,13253.
243.4295158386,17838.
243.6742916107,22959.
243.9190673828,23999.
244.1638431549,17030.
244.4086189270,10009.
244.6533946991,8409.
244.8981704712,7821.
245.1429462433,6704.
245.3877220154,5395.
245.6324977875,3878.
245.8772735596,2691.
246.1220493317,2000.
246.3668251038,1502.
246.6116008759,1200.
246.8563766479,1003.
247.1011524200,922.
247.3459281921,920.
247.5907039642,860.
247.8354797363,841.
248.0802555084,825.
248.3250312805,807.
248.5698070526,806.
248.8145828247,748.
249.0593585968,803.
249.3041343689,802.
249.548910141,762.
249.7936859131,745.
250.0384616852,767.
250.2832374573,774.
250.5280132294,752.
250.7727890015,695.
251.0175647736,690.
251.2623405457,685.
251.5071163177,695.
251.7518920898,697.
251.9966678619,715.
252.2414436340,726.
252.4862194061,729.
252.7309951782,721.
252.9757709503,723.
253.2205467224,707.
253.4653224945,715.
253.7100982666,739.
253.9548740387,685.
254.1996498108,614.
254.4444255829,621.
254.689201355,689.
254.9339771271,689.
255.1787528992,681.
255.4235286713,627.
255.6683044434,601.
255.9130802155,626.
256.1578559875,693.
256.4026317596,649.
256.6474075317,615.
256.8921833038,633.
257.1369590759,636.
257.3817348480,639.
257.6265106201,633.
257.8712863922,625.
258.1160621643,654.
258.3608379364,629.
258.6056137085,622.
258.8503894806,630.
259.0951652527,651.
259.3399410248,664.
259.5847167969,650.
259.829492569,649.
260.0742683411,674.
260.3190441132,611.
260.5638198853,605.
260.8085956573,633.
261.0533714294,647.
261.2981472015,662.
261.5429229736,640.
261.7876987457,651.
262.0324745178,601.
262.2772502899,646.
262.5220260620,697.
262.7668018341,659.
263.0115776062,636.
263.2563533783,636.
